act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop
2019-11-18 16:55:08.430,YAT,7006B,RA03,2019-11-18 16:56:17.159,68.729,5,False
2019-11-18 16:55:08.628,TIK,7115,GA05,2019-11-18 16:55:26.159,17.531,0,False
2019-11-18 16:55:08.982,TIK,7101,GA37,2019-11-18 16:55:50.066,41.084,38,False
2019-11-18 16:55:09.226,YMT,39,GA12,2019-11-18 16:55:36.519,27.293,6,False
2019-11-18 16:55:09.227,SKM,07,GA11,2019-11-18 16:55:30.941,21.714,8,False
2019-11-18 16:55:09.624,TIK,7149,GA05,2019-11-18 16:55:31.140,21.516,,False
2019-11-18 16:55:09.824,KWT,6002,RA35,2019-11-18 16:55:38.910,29.086,14,False
2019-11-18 16:55:09.989,MOK,38,RA16,2019-11-18 16:56:20.944,70.955,10,False
2019-11-18 16:55:10.592,DIH,02,QA20,2019-11-18 16:55:35.523,24.931,8,False
2019-11-18 16:55:11.218,TIK,7149,QA05,2019-11-18 16:55:31.140,19.922,1,False
2019-11-18 16:55:12.613,TIK,7120,QA05,2019-11-18 16:55:41.101,28.488,2,False
2019-11-18 16:55:12.614,KOB,04,QA01,2019-11-18 16:55:38.909,26.295,12,False
2019-11-18 16:55:13.609,YAT,7006A,RA03,2019-11-18 16:56:23.136,69.527,55,True
2019-11-18 16:55:15.402,YMT,41,GA12,2019-11-18 16:56:08.942,53.54,14,False
2019-11-18 16:55:15.403,WTS,06,RA19,2019-11-18 16:55:46.081,30.678,9,False
2019-11-18 16:55:15.589,TIK,7122,QA05,2019-11-18 16:56:57.003,101.414,51,False
2019-11-18 16:55:15.800,LAT,6107,GA06,2019-11-18 16:55:40.105,24.305,11,False
2019-11-18 16:55:15.999,YMT,44,QA42,2019-11-18 16:56:06.353,50.354,20,False
2019-11-18 16:55:16.378,SKM,16,QA17,2019-11-18 16:55:37.116,20.738,5,False
2019-11-18 16:55:16.995,WTS,07,GA09,2019-11-18 16:55:40.359,23.364,13,False
2019-11-18 16:55:17.792,SKM,09,GA11,2019-11-18 16:55:35.523,17.731,4,False
2019-11-18 16:55:19.585,DIH,04,QA20,2019-11-18 16:55:45.484,25.899,9,False
2019-11-18 16:55:20.382,MOK,40,RA16,2019-11-18 16:56:27.519,67.137,51,True
2019-11-18 16:55:20.581,HOM,14,RA15,2019-11-18 16:55:45.484,24.903,7,False
2019-11-18 16:55:21.976,SKM,18,QA17,2019-11-18 16:55:47.077,25.101,11,False
2019-11-18 16:55:22.574,SKM,11,GA11,2019-11-18 16:55:43.890,21.316,4,False
2019-11-18 16:55:23.171,KOT,12,RA45,2019-11-18 16:55:49.069,25.898,14,False
2019-11-18 16:55:24.566,NTK,02,RA35,2019-11-18 16:55:48.073,23.507,11,False
2019-11-18 16:55:24.765,WTS,08,RA19,2019-11-18 16:56:46.046,81.281,14,False
2019-11-18 16:55:24.765,KOB,06,QA01,2019-11-18 16:55:55.046,30.281,12,False
2019-11-18 16:55:25.761,MOK,39,GA40,2019-11-18 16:55:48.073,22.312,7,False
2019-11-18 16:55:26.956,LAT,6109,GA06,2019-11-18 16:56:01.023,34.067,25,False
2019-11-18 16:55:27.156,SKM,13,GA11,2019-11-18 16:57:27.484,120.328,104,True
2019-11-18 16:55:27.952,HOM,22,RA15,2019-11-18 16:55:53.851,25.899,6,False
2019-11-18 16:55:28.749,DIH,06,QA20,2019-11-18 16:56:05.605,36.856,15,False
2019-11-18 16:55:29.546,MOK,31,GA12,2019-11-18 16:56:18.952,49.406,34,False
2019-11-18 16:55:30.941,WTS,09,GA09,2019-11-18 16:55:48.472,17.531,8,False
2019-11-18 16:55:33.346,MOK,41,GA40,2019-11-18 16:55:52.373,19.027,5,False
2019-11-18 16:55:33.730,SKM,20,QA17,2019-11-18 16:56:01.417,27.687,12,False
2019-11-18 16:55:34.128,HOM,05,RA15,2019-11-18 16:56:03.214,29.086,2,False
2019-11-18 16:55:35.921,NTK,04,RA35,2019-11-18 16:56:02.989,27.068,9,False
2019-11-18 16:55:36.718,HOM,13,GA13,2019-11-18 16:56:01.417,24.699,6,False
2019-11-18 16:55:36.917,HOM,02,QA42,2019-11-18 16:56:30.508,53.591,40,False
2019-11-18 16:55:36.918,KOB,08,QA01,2019-11-18 16:57:00.589,83.671,12,False
